Plate,Well,Well Number,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Cell Type],Compound Name,Compound Identifier (CAS Number),Compound Molecular Weight,Compound URL,Compound Concentration (microMolar),Compound General Target Class,Compound General activity,Compound Information,Control Type,Channels,Image File Name
1.1,E10,11,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,PD184352,212631-79-3,478.67,https://pubchem.ncbi.nlm.nih.gov/compound/6918454,2.5,MAPK,MEK,"PD184352 (CI-1040) is an ATP non-competitive MEK1/2 inhibitor with IC50 of 17 nM in cell-based assays, 100-fold more selective for MEK1/2 than MEK5. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40511.nd2.tif_merged.tif
1.1,F10,12,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Dasatinib,302962-49-8,488.01,https://pubchem.ncbi.nlm.nih.gov/compound/3062316,2.5,Angiogenesis,"Bcr-Abl,c-Kit,Src","Dasatinib is a novel, potent and multi-targeted inhibitor that targets Abl, Src and c-Kit, with IC50 of <1 nM, 0.8 nM and 79 nM in cell-free assays, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40512.nd2.tif_merged.tif
1.1,G10,13,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Ridaforolimus,572924-54-0,990.21,https://pubchem.ncbi.nlm.nih.gov/compound/11520894,2.5,PI3K/Akt/mTOR,mTOR,"Ridaforolimus (Deforolimus, MK-8669) is a selective mTOR inhibitor with IC50 of 0.2 nM in HT-1080 cell line; while not classified as a prodrug, mTOR inhibition and FKBP12 binding is similar to rapamycin. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40513.nd2.tif_merged.tif
1.1,G11,14,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Gefitinib,184475-35-2,446.9,https://pubchem.ncbi.nlm.nih.gov/compound/123631,2.5,Protein Tyrosine Kinase,EGFR,"Gefitinib (ZD-1839) is an EGFR inhibitor for Tyr1173, Tyr992, Tyr1173 and Tyr992 in the NR6wtEGFR and NR6W cells with IC50 of 37 nM, 37nM, 26 nM and 57 nM, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40514.nd2.tif_merged.tif
1.1,F11,15,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Imatinib Mesylate,220127-57-1,589.71,https://pubchem.ncbi.nlm.nih.gov/compound/123596,2.5,Protein Tyrosine Kinase,"Bcr-Abl,c-Kit,PDGFR","Imatinib Mesylate (STI571) is an orally bioavailability mesylate salt of Imatinib, which is a multi-target inhibitor of v-Abl, c-Kit and PDGFR with IC50 of 0.6 μM, 0.1 μM and 0.1 μM in cell-free or cell-based assays, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40515.nd2.tif_merged.tif
1.1,E11,16,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Lapatinib Ditosylate,388082-77-7,925.46,https://pubchem.ncbi.nlm.nih.gov/compound/9941095,2.5,Protein Tyrosine Kinase,"EGFR,HER2","Lapatinib (GW-572016) Ditosylate is a potent EGFR and ErbB2 inhibitor with IC50 of 10.8 and 9.2 nM in cell-free assays, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40516.nd2.tif_merged.tif
1.1,D11,17,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Motesanib Diphosphate,857876-30-3,569.44,https://pubchem.ncbi.nlm.nih.gov/compound/16097729,2.5,Protein Tyrosine Kinase,"VEGFR,PDGFR,c-Kit","Motesanib Diphosphate (AMG-706) is a potent ATP-competitive inhibitor of VEGFR1/2/3 with IC50 of 2 nM/3 nM/6 nM, respectively; similar activity against Kit, ~10-fold more selective for VEGFR than PDGFR and Ret. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40517.nd2.tif_merged.tif
1.1,D12,18,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Nilotinib,641571-10-0,529.52,https://pubchem.ncbi.nlm.nih.gov/compound/644241,2.5,Angiogenesis,Bcr-Abl,Nilotinib (AMN-107) is a Bcr-Abl inhibitor with IC50 less than 30 nM in Murine myeloid progenitor cells.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40518.nd2.tif_merged.tif
1.1,E12,19,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,NVP-AEW541,475489-16-8,439.55,https://pubchem.ncbi.nlm.nih.gov/compound/11476171,2.5,Protein Tyrosine Kinase,IGF-1R,"NVP-AEW541 is a potent inhibitor of IGF-1R/InsR with IC50 of 150 nM/140 nM in cell-free assays, greater potency and selectivity  for IGF-1R in a cell-based assay.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40519.nd2.tif_merged.tif
1.1,F12,20,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Pazopanib HCl,635702-64-6,473.98,https://pubchem.ncbi.nlm.nih.gov/compound/11525740,2.5,Protein Tyrosine Kinase,"c-Kit,PDGFR,VEGFR","Pazopanib HCl (GW786034 HCl) is a novel multi-target inhibitor of VEGFR1, VEGFR2, VEGFR3, PDGFR, FGFR, c-Kit and c-Fms with IC50 of 10 nM, 30 nM, 47 nM, 84 nM, 74 nM, 140 nM and 146 nM in cell-free assays, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40520.nd2.tif_merged.tif
1.1,G12,21,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,PD0325901,391210-10-9,482.19,https://pubchem.ncbi.nlm.nih.gov/compound/9826528,2.5,DNA Damage,MEK,"PD0325901 is a selective and non ATP-competitive MEK inhibitor with IC50 of 0.33 nM in cell-free assays, roughly 500-fold more potent than CI-1040 on phosphorylation of ERK1 and ERK2. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40521.nd2.tif_merged.tif
1.1,G13,22,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,PI-103,371935-74-9,348.36,https://pubchem.ncbi.nlm.nih.gov/compound/9884685,2.5,Neuronal Signaling,"Autophagy,DNA-PK,mTOR,PI3K","PI-103 is a multi-targeted PI3K inhibitor for p110α/β/δ/γ with IC50 of 2 nM/3 nM/3 nM/15 nM in cell-free assays, less potent to mTOR/DNA-PK with IC50 of 30 nM/23 nM.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40522.nd2.tif_merged.tif
1.1,F13,23,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Rapamycin,53123-88-9,914.18,https://pubchem.ncbi.nlm.nih.gov/compound/5284616,2.5,DNA Damage,"Autophagy,mTOR",Rapamycin (Sirolimus) is a specific mTOR inhibitor with IC50 of ~0.1 nM HEK293 cells.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40523.nd2.tif_merged.tif
1.1,E13,24,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Sorafenib Tosylate,475207-59-1,637.03,https://pubchem.ncbi.nlm.nih.gov/compound/406563,2.5,Neuronal Signaling,"PDGFR,Raf,VEGFR","Sorafenib Tosylate is a multikinase inhibitor of Raf-1, B-Raf and VEGFR-2 with IC50 of 6 nM, 22 nM and 90 nM in cell-free assays, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40524.nd2.tif_merged.tif
1.1,D13,25,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Sunitinib Malate,341031-54-7,532.56,https://pubchem.ncbi.nlm.nih.gov/compound/6456015,2.5,Microbiology,"c-Kit,PDGFR,VEGFR","Sunitinib Malate is a multi-targeted RTK inhibitor targeting VEGFR2 (Flk-1) and PDGFRβ with IC50 of 80 nM and 2 nM in cell-free assays, and also inhibits c-Kit.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40525.nd2.tif_merged.tif
1.1,D14,26,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Temsirolimus,162635-04-3,1030.29,https://pubchem.ncbi.nlm.nih.gov/compound/6918289,2.5,Neuronal Signaling,mTOR,"Temsirolimus (CCI-779, NSC 683864) is a specific mTOR inhibitor with IC50 of 1.76 μM in a cell-free assay.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40526.nd2.tif_merged.tif
1.1,E14,27,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Tozasertib,639089-54-6,464.59,https://pubchem.ncbi.nlm.nih.gov/compound/5494449,2.5,Endocrinology & Hormones,Aurora Kinase,"Tozasertib (VX-680, MK-0457) is a pan-Aurora inhibitor, mostly against Aurora A with Kiapp of 0.6 nM in a cell-free assay, less potent towards Aurora B/Aurora C and 100-fold more selective for Aurora A than 55 other kinases. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40527.nd2.tif_merged.tif
1.1,F14,28,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Y-27632 2HCl,129830-38-2,320.26,https://pubchem.ncbi.nlm.nih.gov/compound/9901617,2.5,Others,"Autophagy,ROCK","Y-27632 2HCl is a selective ROCK1 (p160ROCK) inhibitor with Ki of 140 nM in a cell-free assay, exhibits >200-fold selectivity over other kinases, including PKC, cAMP-dependent protein kinase, MLCK and PAK.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40528.nd2.tif_merged.tif
1.1,G14,29,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Enzastaurin,170364-57-5,515.61,https://pubchem.ncbi.nlm.nih.gov/compound/176167,2.5,Neuronal Signaling,PKC,"Enzastaurin (LY317615) is a potent PKCβ selective inhibitor with IC50 of 6 nM in cell-free assays, 6- to 20-fold selectivity against PKCα, PKCγ and PKCε. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40529.nd2.tif_merged.tif
1.1,G15,30,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,AC480,714971-09-2,567.01,https://pubchem.ncbi.nlm.nih.gov/compound/10437018,2.5,Neuronal Signaling,"EGFR,HER2","AC480 (BMS-599626) is a selective and efficacious inhibitor of HER1 and HER2 with IC50 of 20 nM and 30 nM, ~8-fold less potent to HER4, >100-fold to VEGFR2, c-Kit, Lck, MET etc. Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40530.nd2.tif_merged.tif
1.1,F15,31,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Masitinib,790299-79-5,498.64,https://pubchem.ncbi.nlm.nih.gov/compound/10074640,2.5,Others,"c-Kit,PDGFR","Masitinib is a novel inhibitor for Kit and PDGFRα/β with IC50 of 200 nM and 540 nM/800 nM, weak inhibition to ABL and c-Fms. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40531.nd2.tif_merged.tif
1.1,E15,32,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Pictilisib,957054-30-7,513.64,https://pubchem.ncbi.nlm.nih.gov/compound/17755052,2.5,Metabolism,PI3K,"Pictilisib (GDC-0941) is a potent inhibitor of PI3Kα/δ with IC50 of 3 nM in cell-free assays, with modest selectivity against p110β (11-fold) and p110γ (25-fold). Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40532.nd2.tif_merged.tif
1.1,D15,33,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,SL-327,305350-87-2,335.35,https://pubchem.ncbi.nlm.nih.gov/compound/9549284,2.5,Others,MEK,"SL327 is a selective inhibitor for MEK1/2 with IC50 of 0.18 μM/ 0.22 μM, no activity towards Erk1, MKK3, MKK4, c-JUN, PKC, PKA, or CamKII;capable of transport through the blood-brain barrier.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40533.nd2.tif_merged.tif
1.1,D16,34,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Crizotinib,"877399-52-5, 877399-53-6 (acetate)",450.34,https://pubchem.ncbi.nlm.nih.gov/compound/11626560,2.5,Others,"ALK,c-Met","Crizotinib (PF-02341066) is a potent inhibitor of c-Met and ALK with IC50 of 11 nM and 24 nM in cell-based assays, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40534.nd2.tif_merged.tif
1.1,E16,35,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,PHA-665752,477575-56-7,641.61,https://pubchem.ncbi.nlm.nih.gov/compound/10461815,2.5,Others,c-Met,"PHA-665752 is a potent, selective and ATP-competitive c-Met inhibitor with IC50 of 9 nM in cell-free assays,  >50-fold selectivity for c-Met than RTKs or STKs.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40535.nd2.tif_merged.tif
1.1,F16,36,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,ZSTK474,475110-96-4,417.41,https://pubchem.ncbi.nlm.nih.gov/compound/11647372,2.5,Neuronal Signaling,PI3K,"ZSTK474 inhibits class I PI3K isoforms with IC50 of 37 nM in a cell-free assay, mostly PI3Kδ. Phase1/2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40536.nd2.tif_merged.tif
1.1,G16,37,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,SB216763,280744-09-4,371.22,https://pubchem.ncbi.nlm.nih.gov/compound/176158,2.5,Others,GSK-3,SB216763 is a potent and selective GSK-3 inhibitor with IC50 of 34.3 nM for GSK-3α and equally effective at inhibiting human GSK-3β.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40537.nd2.tif_merged.tif
1.1,G17,38,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,SB203580,152121-47-6,377.43,https://pubchem.ncbi.nlm.nih.gov/compound/176155,2.5,Transmembrane Transporters,p38 MAPK,"SB203580 is a p38 MAPK inhibitor with IC50 of 0.3-0.5 μM in THP-1 cells, 10-fold less sensitive to SAPK3(106T) and SAPK4(106T) and blocks PKB phosphorylation with IC50 of 3-5 μM. ",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40538.nd2.tif_merged.tif
1.1,F17,39,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,SB202190,152121-30-7,331.34,https://pubchem.ncbi.nlm.nih.gov/compound/5169,2.5,PI3K/Akt/mTOR,p38 MAPK,"SB202190 (FHPI) is a potent p38 MAPK inhibitor targeting p38α/β with IC50 of 50 nM/100 nM in cell-free assays, sometimes used instead of SB 203580 to investigate potential roles for SAPK2a/p38 in vivo.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40539.nd2.tif_merged.tif
1.1,E17,40,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,MK-2206 2HCl,1032350-13-2,480.39,https://pubchem.ncbi.nlm.nih.gov/compound/46930998,2.5,Others,Akt,"MK-2206 2HCl is a highly selective inhibitor of Akt1/2/3 with IC50 of 8 nM/12 nM/65 nM in cell-free assays, respectively; no inhibitory activities against 250 other protein kinases observed. Phase 2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40540.nd2.tif_merged.tif
1.1,D17,41,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,SU11274,658084-23-2,568.09,https://pubchem.ncbi.nlm.nih.gov/compound/9549297,2.5,Neuronal Signaling,c-Met,"SU11274 is a selective Met inhibitor with IC50 of 10 nM in cell-free assays, no effects on PGDFRβ, EGFR or Tie2.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40541.nd2.tif_merged.tif
1.1,C17,42,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Brivanib,649735-46-6,370.38,https://pubchem.ncbi.nlm.nih.gov/compound/11234052,2.5,GPCR & G Protein,"FGFR,VEGFR","Brivanib is an ATP-competitive inhibitor against VEGFR2 with IC50 of 25 nM, moderate potency against VEGFR-1 and FGFR-1, but >240-fold against PDGFR-β. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40542.nd2.tif_merged.tif
1.1,C16,43,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Refametinib,923032-37-5,572.34,https://pubchem.ncbi.nlm.nih.gov/compound/44182295,2.5,Others,MEK,"Refametinib (RDEA119, Bay 86-9766) is a potent, ATP non-competitive and highly selective inhibitor of MEK1 and MEK2 with IC50 of 19 nM and 47 nM, respectively.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40543.nd2.tif_merged.tif
1.1,C15,44,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Linsitinib,867160-71-2,421.49,https://pubchem.ncbi.nlm.nih.gov/compound/11640390,2.5,Others,IGF-1R,"Linsitinib (OSI-906) is a selective inhibitor of IGF-1R with IC50 of 35 nM in cell-free assays; modestly potent to InsR with IC50 of 75 nM, and no activity towards Abl, ALK, BTK, EGFR, FGFR1/2, PKA etc. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40544.nd2.tif_merged.tif
1.1,C14,45,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,KU-55933,587871-26-9,395.49,https://pubchem.ncbi.nlm.nih.gov/compound/5278396,2.5,Others,ATM/ATR,"KU-55933 (ATM Kinase Inhibitor) is a potent and specific ATM inhibitor with IC50/Ki of 12.9 nM/2.2 nM in cell-free assays, and is highly selective for ATM as compared to DNA-PK, PI3K/PI4K, ATR and mTOR.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40545.nd2.tif_merged.tif
1.1,C13,46,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,GSK1904529A,1089283-49-7,851.96,https://pubchem.ncbi.nlm.nih.gov/compound/25124816,2.5,Others,IGF-1R,"GSK1904529A is a selective inhibitor of IGF-1R and IR with IC50 of 27 nM and 25 nM in cell-free assays, >100-fold more selective for IGF-1R/InsR than Akt1/2, Aurora A/B,B-Raf, CDK2, EGFR etc.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40546.nd2.tif_merged.tif
1.1,C12,47,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,PF-04217903,956905-27-4,372.38,https://pubchem.ncbi.nlm.nih.gov/compound/17754438,2.5,Others,c-Met,"PF-04217903 is a selective ATP-competitive c-Met inhibitor with IC50 of 4.8 nM in A549 cell line, susceptible to oncogenic mutations (no activity to Y1230C mutant). Phase 1.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40547.nd2.tif_merged.tif
1.1,C11,48,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,MLN8054,869363-13-3,476.86,https://pubchem.ncbi.nlm.nih.gov/compound/11712649,2.5,Others,Aurora Kinase,MLN8054 is a potent and selective inhibitor of Aurora A with IC50 of 4 nM in Sf9 insect cell. It is more than 40-fold selective for Aurora A than Aurora B. Phase 1.,,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40548.nd2.tif_merged.tif
1.1,C10,49,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,DMSO,,,,2.5,,,,vehicle control,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40549.nd2.tif_merged.tif
1.1,C9,50,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,DMSO,,,,2.5,,,,vehicle control,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-1_40550.nd2.tif_merged.tif
1.2,C8,1,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,Vatalanib 2HCl,212141-51-0,419.73,https://pubchem.ncbi.nlm.nih.gov/compound/22386467,2.5,Others,"c-Kit,VEGFR","Vatalanib (PTK787) 2HCl is an inhibitor of VEGFR2/KDR with IC50 of 37 nM in a cell-free assay, less potent against VEGFR1/Flt-1, 18-fold against VEGFR3/Flt-4. Phase 3.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40501.nd2.tif_merged.tif
1.2,D8,2,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,U0126-EtOH,1173097-76-1,426.56,https://pubchem.ncbi.nlm.nih.gov/compound/16220066,2.5,Others,MEK,"U0126-EtOH is a highly selective inhibitor of MEK1/2 with IC50 of 0.07 μM/0.06 μM in cell-free assays, 100-fold higher affinity for ΔN3-S218E/S222D MEK than PD98059.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40502.nd2.tif_merged.tif
1.2,E8,3,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,ZM 447439,331771-20-1,513.59,https://pubchem.ncbi.nlm.nih.gov/compound/9914412,2.5,Others,Aurora Kinase,"ZM 447439 is a selective and ATP-competitive inhibitor for Aurora A and Aurora B with IC50 of 110 nM and 130 nM, respectively. It is more than 8-fold selective for Aurora A/B than MEK1, Src, Lck and has little effect against CDK1/2/4, Plk1, Chk1, etc.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40503.nd2.tif_merged.tif
1.2,F8,4,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,GDC-0879,905281-76-7,334.37,https://pubchem.ncbi.nlm.nih.gov/compound/11717001,2.5,Others,Raf,"GDC-0879 is a novel, potent, and selective B-Raf inhibitor with IC50 of 0.13 nM in A375 and Colo205 cells with activity against c-Raf as well; no inhibition known to other protein kinases.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40504.nd2.tif_merged.tif
1.2,G8,5,Mus musculus,NCBITaxon,10090,Primary mouse keratinocytes,LY294002,154447-36-6,307.34,https://pubchem.ncbi.nlm.nih.gov/compound/3973,2.5,Others,"Autophagy,PI3K","LY294002 is the first synthetic molecule known to inhibit PI3Kα/δ/β with IC50 of 0.5 μM/0.57 μM/0.97 μM in cell-free assays, respectively; more stable in solution than Wortmannin, and also blocks autophagosome formation.",,405:ErkKTR-BFP; 561:H2B-RFP,plate_1-2_40505.nd2.tif_merged.tif
